title,author,genre,image
Crna noć nada mnom i zvezdano nebo u meni,Ivan Tokin,Akcioni,https://laguna.rs/_img/korice/6875/crna_noc_nada_mnom_i_zvezdano_nebo_u_meni-ivan_tokin_s.jpg
Čudo u Poskokovoj Dragi,Ante Tomić,Akcioni,https://laguna.rs/_img/korice/5162/cudo_u_poskokovoj_dragi_s.jpg
Malavita,Tonino Benakvista,Akcioni,https://laguna.rs/_img/korice/2352/malavita-tonino_benakvista_s.jpg
Jedan hitac,Li Čajld,Akcioni,https://laguna.rs/_img/korice/2071/jedan_hitac-li_cajld_s.jpg
Divljaci,Don Vinslou,Akcioni,https://laguna.rs/_img/korice/2014/divljaci-don_vinslou_s.jpg
Plamen na istoku,Hari Sajdbotom,Akcioni,https://laguna.rs/_img/korice/1532/plamen_na_istoku-hari_sajdbotom_s.jpg
Zlatni grad,Džon Dvanaest Jastrebova,Akcioni,https://laguna.rs/_img/korice/1396/zlatni_grad-dzon_dvanaest_jastrebova_s.jpg
Potraga za lasicom,Džejms Paterson,Akcioni,https://laguna.rs/_img/korice/1362/potraga_za_lasicom-dzejms_paterson_s.jpg
Jedrenje,Džejms Paterson,Akcioni,https://laguna.rs/_img/korice/1172/jedrenje-dzejms_paterson_s.jpg
Kros,Džejms Paterson,Akcioni,https://laguna.rs/_img/korice/1132/kros-dzejms_paterson_s.jpg
Nevin,Harlan Koben,Akcioni,https://laguna.rs/_img/korice/1089/nevin-harlan_koben_s.jpg
Tamna reka,Džon Dvanaest Jastrebova,Akcioni,https://laguna.rs/_img/korice/1070/tamna_reka-dzon_dvanaest_jastrebova_s.jpg
Sedam svetskih čuda,Metju Rajli,Akcioni,https://laguna.rs/_img/korice/1006/sedam_svetskih_cuda-metju_rajli_s.jpg
Postupak,Mo Hejder,Akcioni,https://laguna.rs/_img/korice/865/postupak-mo_hejder_s.jpg
Vektor Trido,Juri Jurjevic,Akcioni,https://laguna.rs/_img/korice/864/vektor_trido-juri_jurjevic_s.jpg
Smrt u stranoj zemlji,Dona Leon,Akcioni,https://laguna.rs/_img/korice/825/smrt_u_stranoj_zemlji-dona_leon_s.jpg
Koza Nostra,Džon Diki,Akcioni,https://laguna.rs/_img/korice/704/koza_nostra-dzon_diki_s.jpg
Mačka i miš,Džejms Paterson,Akcioni,https://laguna.rs/_img/korice/668/macka_i_mis-dzejms_paterson_s.jpg
Glavolomka,Aleksandar Garos i Aleksej Jevdokimov,Akcioni,https://laguna.rs/_img/korice/618/glavolomka-aleksandar_garos_i_aleksej_jevdokimov_s.jpg
Sasvim jednostavno,Piter Džejms,Akcioni,https://laguna.rs/_img/korice/616/sasvim_jednostavno-piter_dzejms_s.jpg
"Majica „Najnormalniji čovek na svetu“ – kratki rukav, XXL",,Majice,https://laguna.rs/_img/korice/6370/majica_najnormalniji_covek_na_svetu_kratki_rukav_m_s.jpg
"Majica „Najnormalniji čovek na svetu“ – kratki rukav, XL",,Majice,https://laguna.rs/_img/korice/6369/majica_najnormalniji_covek_na_svetu_kratki_rukav_xl_s.jpg
"Majica „Najnormalniji čovek na svetu“ – kratki rukav, L",,Majice,https://laguna.rs/_img/korice/6368/majica_najnormalniji_covek_na_svetu_kratki_rukav_l_s.jpg
"Majica „Najnormalniji čovek na svetu“ – kratki rukav, M",,Majice,https://laguna.rs/_img/korice/6367/majica_najnormalniji_covek_na_svetu_kratki_rukav_m_s.jpg
Ovaj put biram sebe,Dizgram,Za poklon,https://laguna.rs/_img/korice/6838/ovaj_put_biram_sebe-dizgram_s.png
Dnevnik jednog čarobnjaka – ilustrovano izdanje,Paulo Koeljo,Za poklon,https://laguna.rs/_img/korice/6680/dnevnik_jednog_carobnjaka_ilustrovano_izdanje-paulo_koeljo_s.png
Veliki delovi slagalice za male dečje šake: Godišnja doba,Grupa autora,Za poklon,https://laguna.rs/_img/korice/6661/godisnja_doba_veliki_delovi_slagalice_za_male_decje_sake_s.png
Veliki delovi slagalice za male dečje šake: Sunčan dan na selu,Grupa autora,Za poklon,https://laguna.rs/_img/korice/6662/suncan_dan_na_selu_veliki_delovi_slagalice_za_male_decje_sake_s.png
Vodič kroz ljubavnu istoriju Beograda – knjiga druga,Nenad Novak Stefanović,Za poklon,https://laguna.rs/_img/korice/6629/vodic_kroz_ljubavnu_istoriju_beograda-nenad_novak_stefanovic_s.png
Ljubav,Dona Ešvort,Za poklon,https://laguna.rs/_img/korice/6615/ljubav_s.png
Život,Dona Ešvort,Za poklon,https://laguna.rs/_img/korice/6616/zivot_s.png
Divlja nada,Dona Ešvort,Za poklon,https://laguna.rs/_img/korice/6609/divlja_nada_s.png
Monine oči,Toma Šleser,Za poklon,https://laguna.rs/_img/korice/6495/monine_oci-toma_sleser_s.png
A kuda idemo?,Ton Telehen,Za poklon,https://laguna.rs/_img/korice/6476/a_kuda_idemo-ton_telehen_s.png
